Account_ID,VASP_ID,VASP_Name,Routing_Type,Local_Routing,BIC,IBAN,Account_Number,Bank_ID,Bank_Name,Bank_Role,Account_Country
752a5115-0f3b-45f4-9476-de262e150281,91554304-d2fc-4052-a698-f42f8d166958,AvaTrade,IBAN,,NWBKGB2LXXX,GB87NWBK60730187577704,NWBK60730187577704,c3122c7e-da01-4c48-860f-a3478510f512,NATIONAL WESTMINSTER BANK PLC,Custodian,GBR
8bb980a7-f4c6-43d4-9045-a65d2afe0472,740a7eb0-2728-43e1-b6b2-5fe7bbf6eede,BTC Markets,BPay,8364201000646114,,,91488,,,,AUS
171504bd-7fea-42c5-9547-e0d5a38657a9,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,IBAN,,CLJUGB21XXX,GB22CLJU04130729901797,CLJU04130729901797,e380afe1-cf1e-46c3-8fc5-1178d59ff12e,Clear Junction Limited,Custodian,GBR
c7172f63-f0f5-42fb-9514-109e17112642,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,IBAN,,USPELT2VXXX,LT033390020000054221,3390020000054221,ce30b05a-7c18-4e00-8194-f5010cd5b11f,UAB Nuvei,Custodian,LTU
3d26fd31-c632-4849-a17f-eddc15f99f6e,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,IBAN,,UAPULT22XXX,LT213120023810041739,3120023810041739,58ffc609-4ca0-4ccb-9430-6f94851ed618,UAB PAYTEND EUROPE,Custodian,LTU
61c94fb2-70dc-457e-a6d8-6d277bbc3623,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,IBAN,,SXPYDEHHXXX,DE10202208000093787059,202208000093787059,576b5dcb-b0ba-4085-bf1d-b0adf6bedc79,Banking Circle - German Branch,Custodian,DEU
8dbdacf6-49b7-4230-9527-23180f718df8,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,IBAN,,BCIRLULLXXX,LU764080000093691157,4080000093691157,8ba37723-44f4-4f9b-89b4-10c00916bec8,Banking Circle S.A.,Custodian,LUX
292d6594-bc5d-4d51-92a5-36ada330733f,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,IBAN,,USPELT2VXXX,LT463390020000054223,3390020000054223,ce30b05a-7c18-4e00-8194-f5010cd5b11f,UAB Nuvei,Custodian,LTU
146c894f-cb98-4963-9f3a-1841113b0c6f,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,NUBAN,,,,7829303929,1db26c9d-77e2-498a-ba29-c72a322cc726,Wema Bank PLC,Custodian,NGA
e1fc3119-7482-4724-89dd-794929a6b72f,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,Sort Code,04-13-07,,,58256553,e380afe1-cf1e-46c3-8fc5-1178d59ff12e,Clear Junction Limited,Custodian,GBR
146c894f-cb98-4963-9f3a-1841113b0c6f,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,NUBAN,,,,7829303929,1db26c9d-77e2-498a-ba29-c72a322cc726,Wema Bank PLC,Custodian,NGA
179e7779-8fd8-4047-9629-d9337296b4d6,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,IBAN,,HRSAFR22XXX,FR7617478000010008527622918,17478000010008527622918,7c053f2a-f6a3-462c-8a08-a689a61e34fb,HARMONIIE SAS,Custodian,FRA
8e0cb5ad-1081-4c50-acdc-6680cf846b1c,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,IBAN,,MNNELT21XXX,LT973110087951865402,3110087951865402,9c422d04-6321-4ba5-b0f7-41ab836163ec,UAB MANEUVER LT,Custodian,LTU
74953fb8-b24e-41be-84ef-328ab007ad83,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,IBAN,,CLJUGB21XXX,GB71CLJU00997129900350,CLJU00997129900350,e380afe1-cf1e-46c3-8fc5-1178d59ff12e,Clear Junction Limited,Custodian,GBR
b9d348ed-7d9a-4981-bbdf-ead8cbca7419,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,IBAN,,DUBACHGGXXX,CH1908843145496821010,08843145496821010,fc744da5-10f0-4681-9142-7513c1b8db69,Dukascopy Bank SA,Custodian,LTU
0c1f07b6-a51d-4c31-af16-c576d22ff692,dfd6561b-d803-4bb8-bce4-e97f3bda8c52,BitFlyer,IBAN,,BCEELULLXXX,LU570019505532986000,0019505532986000,85b3891e-a103-40c6-b2fa-32839b345e77,"Banque et Caisse d'Epargne de l'Etat, Luxembourg",Custodian,LUX
acc1f982-3294-4e82-80da-161e17b6520a,dfd6561b-d803-4bb8-bce4-e97f3bda8c52,BitFlyer,IBAN,,BFRILI22XXX,LI97088110104824Y000E,088110104824Y000E,78a9b83e-4b46-4846-a02d-01ed2ceaaceb,Bank Frick & Co. AG,Custodian,LIE
8766c501-72f7-4fe0-a846-0b336c7a7a54,e2140447-6250-46e5-828a-2068bccc374d,Bitget,IBAN,,LHVBEE22XXX,EE237777000127438986,7777000127438986,e70c8cfd-d51b-4117-a3f2-2fe3d16f3b0c,AS LHV PANK,Custodian,EST
051d64fa-6166-49f2-b597-95dff87677c5,581cc0b3-50a5-429e-9d4c-321832305488,Bitpanda,IBAN,,LHVBEE22XXX,EE517700771007272306,7700771007272306,e70c8cfd-d51b-4117-a3f2-2fe3d16f3b0c,AS LHV PANK,Custodian,EST
58b85e21-9b00-4607-b8fa-56f4b789cf96,581cc0b3-50a5-429e-9d4c-321832305488,Bitpanda,IBAN,,LHVBEE22XXX,EE427700771006334672,7700771006334672,e70c8cfd-d51b-4117-a3f2-2fe3d16f3b0c,AS LHV PANK,Custodian,EST
c4c593b7-3c88-4a4c-a68e-8c752e4f91ec,581cc0b3-50a5-429e-9d4c-321832305488,Bitpanda,IBAN,,DEUTDEBB101,DE62100701000349528000,100701000349528000,5ae4ece3-a13c-4848-abc3-d676ca3db302,Deutsche Bank AG,Custodian,DEU
af469bc6-b6fa-47ae-addd-0154eb94673a,581cc0b3-50a5-429e-9d4c-321832305488,Bitpanda,IBAN,,BFRILI22XXX,LI40088110105515K000U,088110105515K000U,5732ad64-a454-4196-a6bb-71f121602fe6,Bank Frick AG,Custodian,LIE
b420df32-d20b-4ed9-b05b-67298ea9d198,581cc0b3-50a5-429e-9d4c-321832305488,Bitpanda,IBAN,,BFRILI22XXX,LI14088110105515K000D,088110105515K000D,5732ad64-a454-4196-a6bb-71f121602fe6,Bank Frick AG,Custodian,LIE
f3a6e4d3-f61a-4479-a07c-0337f909c912,581cc0b3-50a5-429e-9d4c-321832305488,Bitpanda,IBAN,,BFRILI22XXX,LI41088110105515K000C,088110105515K000D,5732ad64-a454-4196-a6bb-71f121602fe6,Bank Frick AG,Custodian,LIE
fd996525-f930-48ec-91be-47b0ef9c6f4a,fd6f4ad2-11d9-453d-a308-21bf1326e691,Bitstamp,IBAN,,LHVBEE22XXX,EE707700771003686941,7700771003686941,e70c8cfd-d51b-4117-a3f2-2fe3d16f3b0c,AS LHV PANK,Custodian,EST
05d65f8b-bad2-4371-aa0a-6aefdebfa810,fd6f4ad2-11d9-453d-a308-21bf1326e691,Bitstamp,SWIFT,,CUESUS33XXX,,8422130,843d292c-f08d-4005-8e26-cf3cb50dfbed,Customers Bank,Custodian,USA
f4dc83e0-c5b2-4d1e-aec8-066e4925ca26,fd6f4ad2-11d9-453d-a308-21bf1326e691,Bitstamp,IBAN,,CLRBGB22XXX,GB39CLRB04051100335112,CLRB04051100335112,ea6175ac-3089-45b6-979d-e73aed3a182f,Clearbank Limited,Custodian,GBR
12975e5a-69f5-43f6-a468-3364715b99e7,fd6f4ad2-11d9-453d-a308-21bf1326e691,Bitstamp,Sort Code,04-05-11,,,00335112,ea6175ac-3089-45b6-979d-e73aed3a182f,Clearbank Limited,Custodian,GBR
aa71dc52-4f76-464a-b37b-f1b47157c45c,af9f0a20-a549-499f-abbf-8a6f6cb570b7,Bitvavo,IBAN,,BUNQNLADXXX,NL23BUNQ2291234129,BUNQ2291234129,4535556b-7a3e-4b74-a699-6f5a2a6d8076,BUNQ B.V.,Custodian,NDL
ec22f1dd-cf51-4cc5-8182-962de7eaa84a,689d49da-145f-48d9-b045-c417e23921ae,Blockchain.com,IBAN,,LHVBEE22XXX,EE847777000120866623,7777000120866623,e70c8cfd-d51b-4117-a3f2-2fe3d16f3b0c,AS LHV PANK,Custodian,EST
1db5cd47-9401-43ab-89ea-0bf21818abb7,1d6e284c-1d54-43b9-b1c9-d52df1cf2bbd,Bybit,IBAN,,HRSAFR22XXX,FR7617478000010008108512011,17478000010008108512011,7c053f2a-f6a3-462c-8a08-a689a61e34fb,HARMONIIE SAS,Custodian,FRA
e2ea5ac3-de3e-48da-b43b-03283b376605,1d6e284c-1d54-43b9-b1c9-d52df1cf2bbd,Bybit,IBAN,,SXPYDEHHXXX,DE07202208000024416593,202208000024416593,576b5dcb-b0ba-4085-bf1d-b0adf6bedc79,Banking Circle - German Branch,Custodian,DEU
dacc6b34-d7c5-4e7d-90dc-52554e218275,1d6e284c-1d54-43b9-b1c9-d52df1cf2bbd,Bybit,IBAN,,HRSAFR22XXX,FR7617478000010008557865481,17478000010008557865481,7c053f2a-f6a3-462c-8a08-a689a61e34fb,HARMONIIE SAS,Custodian,FRA
d92b62eb-4d8f-4aff-9bd2-d5b45f741d49,58276b0f-fa0e-47da-9f14-8be1c217222f,Cash App,ABA,121000248,,,98971033524955510,7cb1950e-f640-4bd5-a745-ec7414df2306,"WELLS FARGO BANK, N.A.",Custodian,USA
6b961ca1-6394-42ab-937a-393d617f0057,39cf9de0-6de7-4d58-a85a-7eeccc96f77b,Cex.io,IBAN,,CLJUGB21XXX,GB31CLJU04130729905418,CLJU04130729905418,ea6175ac-3089-45b6-979d-e73aed3a182f,Clearbank Limited,Custodian,GBR
4350f375-c763-4593-829a-569d3f7eed9a,1e7acbef-3ca4-4d1b-ae4a-00d39d0d93ee,CoinCorner,IBAN,,ENUMGB21XXX,GB04ENUM04047600000312,ENUM04047600000312,392584ba-ba2f-49c9-ad21-10ca32d50aca,ENUMIS LIMITED,Custodian,GBR
90169cff-992d-4b50-bc6d-d51fc1e0c397,6896b296-6abd-4e58-9e1a-ba02d2d55886,CoinJar,BPay,5522808010437691,,,91488,,,,AUS
6033362d-16a1-48b9-afa6-572058b248b7,7d4f6e6c-fce8-4e3c-b0dd-9a860a1035b5,Coinbase,ABA,021214891,,,343706944992,b3b9f701-f37a-4390-af3b-8700a3fe6231,Cross River Bank,Custodian,USA
6d7457dc-0329-47bf-9a36-12dd9ebd4250,7d4f6e6c-fce8-4e3c-b0dd-9a860a1035b5,Coinbase,ABA,021214891,,,300654374697,b3b9f701-f37a-4390-af3b-8700a3fe6231,Cross River Bank,Custodian,USA
72e5ed23-e2b4-405f-ab25-cfde63dc43a1,7d4f6e6c-fce8-4e3c-b0dd-9a860a1035b5,Coinbase,IBAN,,LHVBEE22XXX,EE427777000037987378,7777000037987378,e70c8cfd-d51b-4117-a3f2-2fe3d16f3b0c,AS LHV PANK,Custodian,EST
a796f97f-0f33-4287-8b6a-1e0f3f7f5bce,7d4f6e6c-fce8-4e3c-b0dd-9a860a1035b5,Coinbase,IBAN,,LHVBEE22XXX,EE957700771001355096,7700771001355096,e70c8cfd-d51b-4117-a3f2-2fe3d16f3b0c,AS LHV PANK,Custodian,EST
8dd0e364-f819-48d5-8a9f-c64616da6c49,7d4f6e6c-fce8-4e3c-b0dd-9a860a1035b5,Coinbase,IBAN,,LHVBEE22XXX,EE477700771003914626,7700771003914626,e70c8cfd-d51b-4117-a3f2-2fe3d16f3b0c,AS LHV PANK,Custodian,EST
54270c08-94ae-41ca-b528-ae50724b3e52,7d4f6e6c-fce8-4e3c-b0dd-9a860a1035b5,Coinbase,IBAN,,SXPYDEHHXXX,DE36202208000053190733,202208000053190733,576b5dcb-b0ba-4085-bf1d-b0adf6bedc79,Banking Circle - German Branch,Custodian,DEU
ccbfbba7-16be-47be-871c-f41f7da7cff7,0d41e81a-e9e7-432e-9cc9-2db495efb9a9,Coinmetro,IBAN,,CFTEMTM1XXX,MT63CFTE28004000000000001922047,CFTE28004000000000001922047,d1f0cf7c-e71f-4118-b8e6-9db149eb0194,OPENPAYD FINANCIAL SERVICES MALTA LTD,Custodian,MLT
58806bf8-7fb5-4f56-b5a2-dc77a63fa93f,a002405f-8946-4133-b598-bc543510ad8a,Crypto.com,ABA,026073150,,,8630005474529,f7c5765f-fe05-45d7-9853-cefcb93759b4,Community Federal Savings Bank,Custodian,USA
56284326-50e8-438c-b3c3-c28ad9e22375,eb472792-66b8-40a5-b864-76882f7a7859,Delta Exchange,IMPS,ESFB0000CMS,,,9305198224129059,dff28ee0-dddf-447a-9d13-dc07f09f35b9,Equitas Small Finance Bank Limited,Custodian,IND
d2fb9daf-ee07-4b32-a037-0146427cd88e,89800d6d-b19c-4328-be2c-ea77f98300f6,EXMO,IBAN,,CLJUGB21XXX,GB57CLJU00997129900214,CLJU00997129900214,e380afe1-cf1e-46c3-8fc5-1178d59ff12e,Clear Junction Limited,Custodian,GBR
