Payment_Method_ID,VASP_ID,VASP_Name,Payment_Method,Is_Amount_Restricted,Jurisdiction,Onramp_Provider_ID,Onramp_Provider_Name
b1adf240-76a6-429d-abce-3be600fa3f6c,ad9b4a8f-f758-43a9-8513-62f4411c6a3b,Ark Finance,SWIFT Transfer,true,USA,1fea66ec-a852-4fc3-aa1f-8b4358ad85d2,Payb.is
37747f51-6df9-4166-acda-36c8454e93c9,ad9b4a8f-f758-43a9-8513-62f4411c6a3b,Ark Finance,Credit Card,true,USA,,
f7d148b2-623a-45b0-928e-288bcd1eaa66,ad9b4a8f-f758-43a9-8513-62f4411c6a3b,Ark Finance,Revolut Pay,true,USA,089d040e-b144-4f63-b784-30145874ae90,Revolut
4a4a0506-dafa-458e-a358-cb4e53a10851,ad9b4a8f-f758-43a9-8513-62f4411c6a3b,Ark Finance,Astro Pay,true,USA,89545e05-1121-41e6-9662-3e20fc6a3314,Astro Pay
dc5bd7b0-61c7-49c8-906e-420b02de39b7,ad9b4a8f-f758-43a9-8513-62f4411c6a3b,Ark Finance,Skrill,true,USA,1d71cc07-3953-4336-bfda-45ceb7ec0ed9,Skrill
69d43dac-af75-4e56-be04-6fa186387dea,ad9b4a8f-f758-43a9-8513-62f4411c6a3b,Ark Finance,Neteller,true,USA,86641c75-6d49-406a-8de5-e45376ea604b,Neteller
4cfc7be3-9e0e-42d6-a040-c691e451feb7,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,Debit / Credit Card,true,,,
5cf146ad-dafa-4358-a008-06590b27ab52,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,Wire Transfer,false,,,
c9684883-c318-4026-a7bc-81d62d6e0f0b,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,Apple Pay,false,,,
f2559173-83e0-4bb0-85fc-435d26b845b9,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,Google Pay,false,,,
89b835a0-dcd7-43da-ab63-1e5cf2e3d85c,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,MoonPay,false,,61913fa7-17ef-4a90-95b0-3c625e12a37b,MoonPay
d13871ae-2814-406c-9c49-79af19de1f5c,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,Mercuryo,false,,ff47f5f0-49ea-49f7-8bfc-d28d8533bab5,Mercuryo
edb181ad-030d-4ec8-8aa9-fcaa3d9fb4f6,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,Banxa,false,,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa
23c0043e-d8c8-4664-a671-08aeb94010dd,ef53a1d1-5e87-4bb3-abe9-8db2f17a2fe9,AscendEX,Simplex,false,,b5dc5fd7-a07b-4964-8262-3f08b450f759,Simplex
4c20e592-fb88-4822-b29f-3aedec45f402,91554304-d2fc-4052-a698-f42f8d166958,AvaTrade,Wire Transfer,true,GBR,,
d3b1fdf8-8e9d-4b49-8f87-0923168604e3,91554304-d2fc-4052-a698-f42f8d166958,AvaTrade,Debit / Credit Card,true,,,
81d3385b-ffb3-48db-baca-8d8d5ed736e3,91554304-d2fc-4052-a698-f42f8d166958,AvaTrade,Google Pay,true,,,
afd68563-fa29-4a45-a747-dd542e5f339e,91554304-d2fc-4052-a698-f42f8d166958,AvaTrade,Skrill,true,,1d71cc07-3953-4336-bfda-45ceb7ec0ed9,Skrill
fac29a68-12c4-4e71-86c9-bede567ded17,91554304-d2fc-4052-a698-f42f8d166958,AvaTrade,Neteller,true,,86641c75-6d49-406a-8de5-e45376ea604b,Neteller
a24f64b0-d57d-4402-80c3-dc920033187b,740a7eb0-2728-43e1-b6b2-5fe7bbf6eede,BTC Markets,BPay,true,AUS,,
0cf027eb-3e03-4502-8508-36942ca6f168,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,SEPA Transfer,true,,,
b63195f2-52cc-496d-adc3-5fe846e8f323,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,Bank transfer,,,,
bcdfcb0c-15cc-48a4-a4c3-b3a73ff955ac,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,Debit / Credit Card,,,,
1a30455a-2d29-4830-a515-2501911b3315,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,Apple Pay,,,,
3871f72f-5c33-4268-be35-448892579735,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,Google Pay,,,,
ae513602-8e96-4922-89a5-6eb3fb915a32,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,Interac,true,,,
4a3732ab-aa49-4aa7-8bfa-86eaf41ff1c2,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,OSKO/Pay ID,,,,
ff042ff3-992e-405c-95ca-581e7f823add,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,Faster Payments,,,,
71e1df63-c270-40af-bebf-1ff65314aa4d,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,iDeal,,,,
36717485-0a1f-4f8a-b792-26a2b9bce3f8,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,DLocal PIX,,,,
0935c562-9a73-484c-88a2-7aca2f6b93cc,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa,DLocal,,,,
032b278a-2c9a-4f1e-a441-d76401be3367,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,Linked Bank Account,true,USA,,
53cb1a58-c5b5-447e-9cd4-d32d74870665,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,SEPA Transfer,,LTU,,
feedf178-523e-4d17-8ecf-581d268c9c0f,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,Bank Transfer,,LTU,,
8dd0169b-266a-4fe0-b698-439f36a5659e,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,Bank Deposit,,LTU,,
59230a22-b7b5-4442-973a-88edb7cd915c,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,SEPA Transfer,,FRA,,
f1faf52a-60a3-4526-be60-f206232de4c0,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,Paymonade,true,DEU,3f1e5a01-8006-4e4b-b892-68e6c907b8b2,Paymonade
b2193655-1abf-48a2-8616-e8d07464d792,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,Revolut Pay,true,DEU,089d040e-b144-4f63-b784-30145874ae90,Revolut
a0b8805c-cee1-47ea-8a7f-f6493ba65c53,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,Google Pay,true,DEU,,
cdab5563-0335-467c-a48c-399cae21c429,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,SEPA Transfer,true,DEU,3f1e5a01-8006-4e4b-b892-68e6c907b8b2,Paymonade
42fbca54-214e-4046-a4a4-de3595f0d445,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,Apple Pay,,DEU,,
05afbcfb-813e-451f-ad51-650840a30b85,4abb7ef9-49bb-4adf-8c05-7364333e3260,Binance,Debit / Credit Card,true,DEU,,
b4af8014-f13a-4239-85a6-088e117864ad,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,Onramp.money,true,,0287ee97-477c-4370-b9c2-599f84e565da,Onramp.money
e99e9f5a-45a1-4680-acb9-fb59de0b8780,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,MoonPay,true,,61913fa7-17ef-4a90-95b0-3c625e12a37b,MoonPay
ac845c7f-fc97-4748-9a9c-d9ca0f353f42,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,Banxa,true,,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa
f90ed176-e801-4b89-8166-bf969e04e7b3,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,Advcash,true,,,
0e852e76-9df2-4b3a-9873-84be9d4b839d,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,Mercuryo,true,,ff47f5f0-49ea-49f7-8bfc-d28d8533bab5,Mercuryo
0d6a081e-c209-437a-83f3-b0238cab4136,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,Alchemy,true,,5f9c7631-96c5-4c3d-a6d1-183e7c52c457,Alchemy Pay
1c574fcd-67b7-48f9-b132-64e1c4b84ca2,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,Apple Pay,true,,,
34556469-2a61-4e9c-8ebf-8d7e892c6e59,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,Credit Card,true,,,
56af0431-7cfa-4acf-ab92-7aaf7492f4c4,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,SEPA Transfer,true,,,
689a928c-0c05-4d2b-bd3f-1502ba009789,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,SEPA Instant,true,,,
4f8f11f9-5ce6-4cd8-8dda-efebd43b1f21,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,Bizum,true,,,
68099644-6b5e-42e2-9da5-ea7aefdb88ca,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,Revolut Pay,true,,,
f36e209c-1957-4c2f-83fd-c772e42947eb,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,N26,true,,,
3abf12b1-e7d0-43a0-ae4e-dc5f70737b09,4e3e28bd-bba5-402b-88de-ed5ffe1c02f3,BingX,Bank Transfer,true,,,
8973d205-6ee5-4f86-a010-0368b94fa3db,f1aeb13d-abac-4bf3-a981-050b4f53236e,Bit2me,Bank Transfer,false,ESP,,
eb92a6ed-f315-4271-bdde-3bb44750b857,f1aeb13d-abac-4bf3-a981-050b4f53236e,Bit2me,Debit / Credit Card,true,,,
d8e8cbd3-57cc-4f04-a37a-badbdbba866d,f1aeb13d-abac-4bf3-a981-050b4f53236e,Bit2me,Apple Pay,true,,,
0542a6d4-cd12-4fee-a15e-96f26a65714b,f1aeb13d-abac-4bf3-a981-050b4f53236e,Bit2me,Google Pay,true,,,
95422210-5cd4-4b71-ba63-50c544e1328c,dfd6561b-d803-4bb8-bce4-e97f3bda8c52,BitFlyer,Credit Card,true,GBR,,
7381722a-e3c8-4318-9d39-ed483482acea,dfd6561b-d803-4bb8-bce4-e97f3bda8c52,BitFlyer,Debit Card,true,GBR,,
1d751d61-4e70-4957-9941-1ea1769a7570,dfd6561b-d803-4bb8-bce4-e97f3bda8c52,BitFlyer,Bank Transfer,true,,,
9a1dffd9-b9de-4345-8cc9-6e1adca8f0ee,dfd6561b-d803-4bb8-bce4-e97f3bda8c52,BitFlyer,SEPA Transfer,true,GBR,,
b913b3e1-eda1-4bf0-ab71-61975103fecc,dfd6561b-d803-4bb8-bce4-e97f3bda8c52,BitFlyer,PayPal,true,GBR,,
2a3a6da6-2ac3-4e56-8b5c-a3ee1797e2cf,dfd6561b-d803-4bb8-bce4-e97f3bda8c52,BitFlyer,Wire Transfer,,,,
21e69e14-97b3-4d5c-bd24-a4d631f74afe,dfd6561b-d803-4bb8-bce4-e97f3bda8c52,BitFlyer,Sofort,true,GBR,,
4f540a4f-999d-492a-96ea-32b7ae84f056,e2140447-6250-46e5-828a-2068bccc374d,Bitget,Debit / Credit Card,true,DEU,2959bf26-7c56-4761-979b-14ddfb3a7112,Multi X
3e92a895-0a43-4a38-b565-dea9b7dbef3b,e2140447-6250-46e5-828a-2068bccc374d,Bitget,SEPA Transfer,true,DEU,,
d206ab60-2e98-45d9-99d2-19d7515e62cb,e2140447-6250-46e5-828a-2068bccc374d,Bitget,Google Pay,true,DEU,2959bf26-7c56-4761-979b-14ddfb3a7112,Multi X
5da054e7-f54d-4b96-b6d2-ee86a934ec84,e2140447-6250-46e5-828a-2068bccc374d,Bitget,Apple Pay,true,DEU,2959bf26-7c56-4761-979b-14ddfb3a7112,Multi X
377e2c02-f090-4bed-b4b3-e103acb1f612,e2140447-6250-46e5-828a-2068bccc374d,Bitget,SEPA Transfer,true,DEU,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa
9294ca1b-547a-4adf-a835-45d592bd48c4,e2140447-6250-46e5-828a-2068bccc374d,Bitget,Debit / Credit Card,true,DEU,ff47f5f0-49ea-49f7-8bfc-d28d8533bab5,Mercuryo
52aefe8f-b168-476b-a0a7-430ffa980e8e,e2140447-6250-46e5-828a-2068bccc374d,Bitget,Debit / Credit Card,true,DEU,5f9c7631-96c5-4c3d-a6d1-183e7c52c457,Alchemy Pay
6ecdb295-3c32-4978-a297-c49dc2d7e1bd,e2140447-6250-46e5-828a-2068bccc374d,Bitget,Debit / Credit Card,true,DEU,b5dc5fd7-a07b-4964-8262-3f08b450f759,Simplex
d4644f10-e2b5-4479-99f9-b91ce7bc2baa,e2140447-6250-46e5-828a-2068bccc374d,Bitget,Google Pay,true,DEU,ae0f61a5-7a5e-46d1-a079-be0ccec83c81,Banxa
32eb14f3-e64c-471d-bcb9-2b7789803f17,e2140447-6250-46e5-828a-2068bccc374d,Bitget,Google Pay,true,DEU,ff47f5f0-49ea-49f7-8bfc-d28d8533bab5,Mercuryo
39f0430f-44ae-4006-b7fd-df9457333c93,e2140447-6250-46e5-828a-2068bccc374d,Bitget,Google Pay,true,DEU,5f9c7631-96c5-4c3d-a6d1-183e7c52c457,Alchemy Pay
b93b8ec6-ce2a-4b31-8749-41593cab01be,e2140447-6250-46e5-828a-2068bccc374d,Bitget,Google Pay,true,DEU,b5dc5fd7-a07b-4964-8262-3f08b450f759,Simplex
